App, Version, Status, Last Check At, Source
Firefox, 92.0.1, Working (arm64), 2021-10-03, https://www.mozilla.org/en-US/firefox/all/#product-desktop-release
Visual Studio Code, 1.60.2, Working (arm64), 2021-10-03, https://code.visualstudio.com/download
Zoom, 5.8.0 (1324), Working (arm64), 2021-10-07, https://www.windowscentral.com/zoom-app-optimized-windows-arm-summer-2021
7-zip, 21.03 beta, Working (arm64), 2021-10-07, https://www.7-zip.org/download.html
Adobe Photoshop, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
VLC, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Microsoft Teams, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Bandizip, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
FileZilla, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Netflix, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Twitter, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Instagram, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
Your Phone, , Working (arm64), 2021-10-07, https://www.xda-developers.com/windows-arm-apps/
OpenVPN, 2.5.4, Working (arm64), 2021-10-07, https://openvpn.net/community-downloads/
Microsoft Edge, 94.0.992.38, Working (arm64), 2021-10-07,
Windows Terminal, 1.10.2714.0, Working (arm64), 2021-10-07, https://www.microsoft.com/store/productId/9N0DX20HK701
CrystalDiskMark, 8.0.4, Working (arm64), 2021-10-07, https://www.microsoft.com/store/productId/9NBLGGH4Z6F2